,번호,카테고리,제목,등록일,link
0,5835,[장학],2024년 삼성드림클래스 대학생멘토 선발 안내,2023-11-22,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=469669&article.offset=0&articleLimit=500
1,5834,[장학],2023년 2학기 동계방학「한국장학재단 취업연계유형 국가근로」참여학생 모집(~11/30까지),2023-11-21,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=469627&article.offset=0&articleLimit=500
2,5833,[장학],2024학년도 1학기 국가장학금 신청 안내,2023-11-21,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=469584&article.offset=0&articleLimit=500
3,5832,[장학],2023년도 영·호남 상생 유공 장학생 선발 안내,2023-11-15,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=469384&article.offset=0&articleLimit=500
4,5831,[학적],[취업진로교육] 2023년 2학기 취업진로교육 대체이수 신청 접수 안내,2023-11-15,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=469383&article.offset=0&articleLimit=500
5,5830,[장학],2023년도 하반기 강화군 대학생 등록금 지원사업 안내,2023-11-14,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=469304&article.offset=0&articleLimit=500
6,5829,[장학],[근로]2024학년도 1학기 1차 국가근로장학금 학생신청 안내[2023.11.22.(수)~12.27.(수)],2023-11-14,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=469285&article.offset=0&articleLimit=500
7,5828,[장학],[장학] 2024-1학기 교내 성적장학생 선발관련 외국어성적표 제출안내(기한엄수),2023-11-14,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=469225&article.offset=0&articleLimit=500
8,5827,,현직 개발자가 강의하는 2023 제2차 UR로봇 교육 과정 강좌 운영 안내,2023-11-13,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=469183&article.offset=0&articleLimit=500
9,5826,[장학],2023학년도 국가근로장학금 동계방학 (교외)집중근로 희망근로지 신청 안내,2023-11-13,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=469143&article.offset=0&articleLimit=500
10,5825,[수업],"2023학년도 겨울 계절수업 다른대학(강릉원주대, 계명대(변경), 공주대,한경국립대) 수학신청 안내",2023-11-10,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=469101&article.offset=0&articleLimit=500
11,5824,[대학원],[장학] 대학원 장학 관련 안내는 금오톡톡 알림(문자는 미발송)-금오톡톡 설치 필수,2023-11-09,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=468977&article.offset=0&articleLimit=500
12,5823,[수업],[참여] KIT수요포럼 개최에 따른 학생 참여 안내(주제:비교과 졸업자격인증제 개편 관련),2023-11-07,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=468876&article.offset=0&articleLimit=500
13,5822,[장학],2023년도 통영시 저소득 대학생 장학금 지원대상자 선발 안내,2023-11-06,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=468759&article.offset=0&articleLimit=500
