가수,제목,가사
STAYC(스테이씨),Bubble,"Check it out now
S.T.A.Y.C GO!
Iffy yo iffy yeah 이불 밖은 위험해
Let it go let it pass 좋은 것만 기억해
빙글빙 빙글뱅 안 돌리고 싶어 해
Listen up listen up 나다운 게 필요해
Let me go let me say
이제 그만 hate or hate
Hello hello punch you like a 808
나는 나 너는 너 전혀 문제없는걸
다른 것과 틀린 건 달라
동그라미 원하지
미래는 그 누구도 몰라 Nobody knows
어쩌지 I can’t be 어디로 튈지 몰라
Stupid stop
잔소린 Bubble Bubble Bubble
잔소린 Bubble Bubble Bubble
I’m sorry Bubble Bubble Bubble
참 많은 걸 꿈이 말야 가끔 세곤 해
궁금한 건 참지 못해 그냥 해볼래
제멋대로래 가끔 생각 없어 보인대
어쩌겠어 뭘 해도 난 절대 안 변해
Let me go let me say
이제 그만 hate or hate
Hello hello punch you like a 808
나는 나 너는 너 전혀 문제없는걸
다른 것과 틀린 건 달라
동그라미 원하지
미래는 그 누구도 몰라 Nobody knows
어쩌지 I can’t be 어디로 튈지 몰라
Stupid stop
잔소린 Bubble Bubble Bubble
잔소린 Bubble Bubble Bubble
I’m sorry Bubble Bubble Bubble
They say I’m in trouble
사라질 거품뿐인걸 너무 흔들리지 마
That’s me
So what
다르면 어때 특별한데
동그라미 원하지
미래는 그 누구도 몰라 Nobody knows
어쩌지 I can’t be 어디로 튈지 몰라
Stupid stop
잔소린 Bubble Bubble Bubble
잔소린 Bubble Bubble Bubble
I’m sorry Bubble Bubble Bubble"
영탁,폼미쳤다,"난 성격이 급해
앞 뒤 계산은 안 해
난 제일 일찍 일어나고 보는 새
꿈 하나만을 쫓네
퍼즐을 맞춰 가네
난 시작하면 끝을 봐야 하는 애
왠지 나는 뭔가 될 것 같은 느낌
진짜 좋은 사람들이 함께하네 Lucky
나아아아
거울 속 나를 보네
나아아아
자 이제 출격 준비
나 오늘 폼 미쳤다
(따르릉 따르릉 따르릉 따르릉)
길을 비켜라
찢었다 찢었
따라올템 따라와바
(꺄르륵 꺄르륵 꺄르륵 꺄르륵)
불을 지펴라
진짜 우리 오늘 폼 미쳤다
라라라라라라라라
난 독학이 편해
틀에 박힌 건 안 해
더 자유로운 곳에 나를 방생해
실수 좀 하면 어때
뭔가를 하나 더 배웠네
점점 선명해지는 나를 발견해
난 왠지 오늘 뭔가 될 것 같은 느낌
진짜 좋은 친구들이 함께하네 Lucky
나아아아
거울 속 나를 보네
나아아아
자 이제 출격 준비
나 오늘 폼 미쳤다
(따르릉 따르릉 따르릉 따르릉)
길을 비켜라
찢었다 찢었
따라올템 따라와바
(꺄르륵 꺄르륵 꺄르륵 꺄르륵)
불을 지펴라
진짜 우리 오늘 폼 미쳤다
라라라라라라라라
You don’t know
what you have got
따라올템 따라와바
You don’t know
what you have got
우리 오늘 폼 미쳤다
라라라라라라라라
(꺄르륵 꺄르륵 꺄르륵 꺄르륵)
불을 지펴라
진짜 우리 오늘 폼 미쳤다
라라라라라라라라"
부석순(SEVENTEEN),파이팅해야지(Feat.이영지),"파이팅 해야지
파이팅
아뿔싸 일어나야지 아침인데
눈 감았다 뜨니 해가 중천인데
아침밥은 Pass 10분 더 자야 돼 Oh
Take-out coffee로 (아메 아메 아메 아메)
Story 속에 (친구들은 다 왜)
잘나 보여 (왜 나 나 나만 왜)
또 또 또 또 왜 아등바등 또 왜
이리저리 치여 왜 (I9 I9 I9 I9)
우린 다 이어폰 꽂은 Zombie
필요해 모두 다 텐션 Up pumpin’
힘을 좀 내어보자
우린 여러분의 부석순
반복되는 하루에
시작이 되는 이 노래
네 옆에서 불러주겠어
힘내야지 뭐 어쩌겠어
파이팅 해야지 파이팅 해야지
Don’t give it up Never give it up yeah
파이팅 해야지 파이팅 해야지
우린 부석순
Ah 파이팅 해야지
Story 속에 (친구들은 다 왜)
잘나 보여 (왜 나 나 나만 왜)
또 또 또 또 왜 아등바등 또 왜
이리저리 치여 왜 (I9 I9 I9 I9)
우린 다 이어폰 꽂은 Zombie
필요해 모두 다 텐션 Up pumpin’
힘을 좀 내어보자
우린 여러분의 부석순
반복되는 하루에
시작이 되는 이 노래
네 옆에서 불러주겠어
힘내야지 뭐 어쩌겠어
파이팅 해야지 파이팅 해야지
Don’t give it up Never give it up yeah
파이팅 해야지 파이팅 해야지
Okay 모닝커피는 디카페인
일찍 일어나니 기분 뭣 같지
철없이 부재중 전화 제끼고
Dance with ma laziness
굽은 등, 팔, 다리 전부 다 펴니
Ooh I feel like I’m seventeen
일원도 보탬 안 되는
불행과 같이 살기에는 내 시간이 너무 아깝지 Man
힘을 내 힘을 내 힘을 내 힘을 내
힘을 내 힘을 내 힘을 내 힘을 내
Y’all don’t deserve it
Unfortune is unnecessary
알다시피 인생은
원래 거지 같아
그러니 조금만 힘을 내
구겨진 인생을
연주하는 우린 비운의 베토벤
차분히 다음 악장을 연주해
We got plenty more pages left to play
올라갔다 내려가는 주식같이
알다가도 모르겠는 인생 뭣 같지
한 템포 쉬고 물 한 모금 마시기
자 여기 있어 비타민 A B C
반복되는 하루에
시작이 되는 이 노래
네 옆에서 불러주겠어
힘내야지 뭐 어쩌겠어
파이팅 해야지 파이팅 해야지
Don’t give it up Never give it up yeah
파이팅 해야지 파이팅 해야지
우린 부석순
Ah 파이팅 해야지
Ah 파이팅 해야지"
CharliePuth,That'sHilarious,"Look how all the tables
Look how all the tables have turned
Guess you're finally realizing
how bad you messed it up
Girl you're only makin'
Girl you're only makin' it worse
When you called
like you always do
when you want someone
You took away a year of my fuckin' life
And I can't get it back no more
So when I see those tears
Comin' out your eyes
I hope it’s me they're for 
You didn't love when you had me
But now you need me so badly
You can't be serious Ha ha ha
That's hilarious Ha ha ha ha ha
Thinkin' I would still want you
After the things you put me through
Yeah you're delirious Ha ha ha
That's hilarious Ha ha ha ha ha
Now you put the blame in
Now you put the blame in reverse
Tryna make me feel guilty
for everything you've done
You're another lesson
You're another lesson
You're just another lesson I learned
Don't give your heart to a girl
who's still got a broken one
You took away a year of my fuckin' life
And I can't get it back no more
So when I see those tears
When I see those tears
Comin' out your eyes
I hope it’s me they're for 
You didn't love when you had me
But now you need me so badly
You can't be serious Ha ha ha
That's hilarious Ha ha ha ha ha
Thinkin' I would still want you
After the things you put me through
Yeah you're delirious
Ha ha ha you're delirious
That's hilarious
Ha ha ha ha ha that's hilarious
You didn't love when you had me
But now you need me so badly
You can't be serious
You can't be serious Ha ha ha
That's hilarious That's hilarious
Ha ha ha ha ha
Thinkin' I would still want you
Oh no oh oh
After the things you put me through
Yeah you're delirious
You're delirious Ha ha ha
That's hilarious That's hilarious
Ha ha ha ha ha
Ha ha ha
Ha ha ha ha ha"
성시경,너의모든순간,"이윽고 내가 한눈에
너를 알아봤을 때
모든 건 분명 달라지고 있었어
내 세상은 널 알기 전과 후로 나뉘어
니가 숨 쉬면 따스한 바람이 불어와
니가 웃으면 눈부신 햇살이 비춰
거기 있어줘서 그게 너라서
가끔 내 어깨에 가만히 기대주어서
나는 있잖아 정말 빈틈없이 행복해
너를 따라서 시간은 흐르고 멈춰
물끄러미 너를 들여다 보곤 해
그것 말고는 아무것도 할 수 없어서
너의 모든 순간 그게
나였으면 좋겠다
생각만 해도 가슴이 차올라
나는 온통 너로
보고 있으면 왠지 꿈처럼 아득한 것
몇 광년 동안 날 향해 날아온 별빛 
또 지금의 너
거기 있어줘서 그게 너라서
가끔 나에게 조용하게 안겨주어서
나는 있잖아 정말 남김없이 고마워
너를 따라서 시간은 흐르고 멈춰
물끄러미 너를 들여다보곤 해
너를 보는 게 나에게는 사랑이니까
너의 모든 순간 그게
나였으면 좋겠다
생각만 해도 가슴이 차올라
나는 온통 너로
니 모든 순간 나였으면"
NCTDREAM,YogurtShake,"네 앞에선 왜 (네 앞에서는 왜)
나답질 못해 (나답지를 못해)
넌 너무 Sweet and sour
(넌 너무 Sweet and sour)
내 하룰 흔들어
마치 넌
Yogurt Shake Yogurt Shake
Yogurt Shake for me
나를 왜 Hurricane 속에 가두지
Yogurt Shake Yogurt Shake
Yogurt Shake for me
넌 나를 휘저어
때론 부드럽게 Sorbet
때론 너무 차가워서
내 속을 태워 I go cray
But I kinda luv that
흔들어 놓지 날
네가 가져온 그 Earthquake
난 욕심은 안 부리지
넌 이대로 100 baby
We can make it chill
What's the deal
거침없이 더 Whip
나를 녹여버려 네 Cheese
가끔은 톡 쏘네
그럴 때면 머릿속은 Wild wild west
가끔 넌 날 너무 헷갈리게
하지 계획이었다면 Success
네 생각에 뻗어 난 거미줄
그 위에서 허우적 Girl It's true
너만 보면 나도 모르게 난 맘이
더 급해져 턱까지 차는 숨 yeah
네 앞에선 왜 (네 앞에서는 왜)
나답질 못해 (나답지를 못해)
넌 너무 Sweet and sour
(넌 너무 Sweet and sour)
내 하룰 흔들어
마치 넌 Yogurt Shake Yogurt Shake
Yogurt Shake for me
나를 왜 Hurricane 속에 가두지
Yogurt Shake Yogurt Shake
Yogurt Shake for me
넌 나를 휘저어
yeah 날 홀려 네 Hocus pocus
마법 같아 속은 타는데 난 얼음
네 앞에서 왜 나는 Mumble
애를 더 태워 Girl
baby you the goat wit it Sheeee
애써 힘주지 않아
완벽해 그대로 Fine
네 자리는 Next to me
하지만 넌 한 번에
잡히지가 않아 Jerry
난 왜 또 두근대
네 앞에서 나답질 못해
휘몰아치지 내 속은 더 Shake
싫지만은 않지 기분이 왜
어디서나 걱정 마 I'm with you
더 달콤해질 거야 Honey dew
너만 보면 나도 모르게 난 맘이
더 급해져 턱까지 차는 숨 yeah
네 앞에선 왜 (네 앞에서는 왜)
나답질 못해 (나답지를 못해)
넌 너무 Sweet and sour
(넌 너무 Sweet and sour)
내 하룰 흔들어
Baby 너를 만나
내겐 이제 너와 나로 작아진
(너와 나뿐인걸)
My world needs ya smile
지친 나를 씻어내리지
(You can wash away the pain)
Baby don't be afraid
너와 날 지킬 만큼은 강해서
(너를 지켜낼 만큼은 강해
Girl you’ll be fine)
눈을 감아도 Alright
I'll be ya sight girl
Don’t let me go
Take a chance with me yeah yeah
마치 넌 Yogurt Shake Yogurt Shake
Yogurt Shake for me
나를 왜 Hurricane 속에 가두지
Yogurt Shake Yogurt Shake
Yogurt Shake for me
넌 나를 휘저어
마치 넌 Yogurt Shake Yogurt Shake
Yogurt Shake for me
(yeah yeah yeah 넌 Yogurt Shake)
어디에 나를 데리고 가는지
(yeah yeah 네가 불러온
내 속 안의 Hurricane)
(내 안의 Hurricane)
Yogurt Shake
(yeah ho 스며들어 나도 모르게
나를 더 휘저어) 
Yogurt Shake Yogurt Shake for me
넌 나를 휘저어 
I’ll give you it all"
테이,Monologue,"다 잊었다는 거짓말
또 해 버렸죠
내 마음에 그대란 사람
없다고 했죠
너무나 쉽게 잊혀졌다고
이젠 남이라고
서툰 내 사랑에 지쳐 떠난 그대
너무 많이 울려서
잡을 용기조차 낼 수 없었죠
미안해요 내 사랑아
다신 나 같은 사람 만나지 마요
혹시 찾아가도 두 번 다시
나를 허락해 주지 마요
그댄 여리고 너무 착해서
싫단 말도 잘 못하는데
많이 부족한 나를 사랑한 그대
이거면 됐어요 더 이상은
그대 불행하지 않도록
나 이쯤에서 없어지는 게
그댈 위한 나의 사랑인 걸요
너무 투명해서 때론 불안했죠
제멋대로 살아온 나를
감당할 수 없을 것 같죠
미안해요 내 사랑아
다신 나 같은 사람 만나지 마요
혹시 찾아가도 두 번 다시
나를 허락해 주지 마요
그댄 여리고 너무 착해서
싫단 말도 잘 못하는데
고마웠어요 나를 사랑해 줘서
나 같은 사람이 두 번 다시
감히 받을 수 없는 사랑
그대 때문에 행복했어요
울지 마요 그대
잘 생각해 봐요
나쁜 일들만 가득했던 우리
다 잊어야 해요
다신 나 같은 사람 만나지 마요
혹시 찾아가도 두 번 다시
나를 허락해 주지 마요
그댄 여리고 너무 착해서
싫단 말도 잘 못하는데
많이 부족한 나를 사랑한 그대
이거면 됐어요
더 이상은 그대 불행하지 않도록
나 이쯤에서 없어지는 게
그댈 위한 나의 사랑인 걸요"
CharliePuth,That’sNotHowThisWorks(feat.Dan+Shay),"Thought the day you disappeared
that it was over
Didn't even hear you leavin'
Saw you with someone and
thought that it was closure
But you still tell me
that you need me
Baby, why, tell me, why
Can't you just make up your mind?
Quit messin' with my head
You can't say you hate me,
then call me when you're hurt
Baby, you know that's not
how this works, no
That's not how this works
You can't walk away,
then come back to what we were
Baby, you know that's not
how this works, no
That's not how this works, no
No, no, no, no
Oh, no, no, no, no
Baby, that's not how this works, no
That's not how this works, oh
Stop remindin' me of
when we said ""forever""
I know exactly what you're doin'
When you say, ""You need to
drop off all my sweaters""
It's just one of your еxcuses
Baby, why, tell me, why
Can't you just makе up your mind?
Quit messin' with my head
You can't say you hate me,
then call me when you're hurt
Baby, you know that's not
how this works, no
That's not how this works
You can't walk away,
then come back to what we were
Baby, you know that's not how
this works, no
(That's not how this works)
That's not how this works, no
(Not how this works)
Don't say that you're in love with me
(Say that you're in love)
'Cause I know it's not what you mean
You can't say you hate me,
then call me when you're hurt
Baby, you know that's not
how this works, no
That's not how this works
(Works baby, no)
You can't walk away,
then come back to what we were
Baby, you know that's not
how this works, no
(That's not how this works)
That's not how this works
(Not how this works)
Oh woah, no, no, no, no (Hey)
Oh, no, no, no, no (Oh)
Baby, that's not how this works, no
(That's not how this works)
That's not how this works, oh
(Not how this works; oh)
No, no, no, no (Ooh, oh, oh)
Oh, no, no, no, no
Baby, that's not how this works"
임영웅,이제나만믿어요,"무얼 믿은 걸까 부족했던 내게서
나조차 못 믿던 내게 여태 머문 사람
무얼 봤던 걸까 가진 것도 없던 내게
무작정 내 손을 잡아 날 이끈 사람
최고였어
그대 눈 속에 비친 내 모습
이제는 내게서 그댈 비춰줄게
궂은 비가 오면
세상 가장 큰 그대 우산이 될게
그댄 편히 걸어가요
걷다가 지치면
내가 그대를 안고 어디든 갈게
이제 나만 믿어요
나만 두고 가던 
나만 스쳐 간 행운이 모여
그대가 되어서 내게 와준 거야
궂은 비가 오면
세상 가장 큰 그대 우산이 될게
그댄 편히 걸어가요
걷다가 지치면
내가 그대를 안고 어디든 갈게
이제 나만 믿어요
나의 마지막 주인공이 되어
다신 누구 앞에서도 
그대는 고개 숙이지 마요
내가 보지 못했던 홀로 고단했던 시간
고맙고 미안해요 사랑해요
이 세상은
우리를 두고 오랜 장난을 했고
우린 속지 않은 거야
이제 울지 마요
좋을 땐 밤새도록 맘껏 웃어요
전부 그대 꺼니까
그대는 걱정 말아요
이제 나만 믿어요"
김호중,인생은뷰티풀,"하나만 알고 둘은 잘 모르는 사람입니다
하루는 비틀거리고 하루는 뒤뚱거리고
월요일 아침이 오면 버거운 세수를 하고
화요일 점심시간에 눈물을 물처럼 삼키고 삼키고
수요일 밤의 길목에 갈 길을 잃고 서 있는
그림자 손을 꼭 잡고 다시 또 걸었습니다
하나만 알고 둘은 잘 모르고 살았습니다
울어도 나 혼자 울고 웃어도 나 혼자 웃고
목요일 빈 술잔 안에 외로움 가득 채우고
금요일 목놓아 부른 그리운 추억의 노래여 노래여
토요일 바람이 분다 춤춰라 머리카락아
일요일 나의 식탁에 태양이 비칠 때까지
월화수목금토일 외로움 가득 채우고
눈물로 목 놓아 부른 그리운 사랑의 노래여 노래여
인생에 바람이 분다 춤춰라 머리카락아
행복한 나의 식탁에 태양이 비칠 때까지
태양이 웃을 때까지"
